iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.										
EUPATH_0009253	Class		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of class.										
EUPATH_0009254	Order		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of order.										
EUPATH_0009255	Family		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of family.										
EUPATH_0009256	Genus		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of genus.										
EUPATH_0009257	Species		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of species.										
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	Metagenomic sequencing assay	A data transformation of input sequence data to obtain the fraction of relative abundance of organisms.										
EUPATH_0009264	Plant taxon detected by sequence match		Taxon detected by sequence match	Metagenomic sequencing assay	A taxon detected by sequence match that indicates whether a plant taxon was detected.										
EUPATH_0009265	Animal taxon detected by sequence match		Taxon detected by sequence match	Metagenomic sequencing assay	A taxon detected by sequence match that indicates whether an animal taxon was detected.										
EUPATH_0009266	Protist taxon detected by sequence match		Taxon detected by sequence match	Metagenomic sequencing assay	A taxon detected by sequence match that indicates whether a protist taxon was detected.										
EUPATH_0009268	Fungal taxon detected by sequence match		Taxon detected by sequence match	Metagenomic sequencing assay	A taxon detected by sequence match that indicates whether a fungal taxon was detected.										
EUPATH_0009267	Taxon detected by sequence match		CORRAL eukaryote detection and abundance analysis	Metagenomic sequencing assay	A data item that indicates whether a method applied to data coming from a sequencing assay of the sample has detected a taxon through identifying sequences associated with organisms of a particular taxonomic grouping.										
EUPATH_0009269	Normalized number of taxon-specific sequence matches		CORRAL eukaryote detection and abundance analysis	Metagenomic sequencing assay	A data item of the normalized number of sequences that match a specific taxon.										
EUPATH_0000815	CORRAL eukaryote detection and abundance analysis		Data analysis	Metagenomic sequencing assay	A data transformation that uses data from a whole metagenome sequencing assay and CORRAL (for Clustering Of Related Reference ALignments) software to specify taxa of Eukaryota in a specimen.										IAO_0000027
EUPATH_0009247_1_12_98_1	1.12.98.1: Coenzyme F420 hydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.031013	1.031013	1.031013	1.031013			1	["1.031013"]		
EUPATH_0009247_1_12_98_4	1.12.98.4: Sulfhydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.078609	0.135896	0.1072525	0.1072525	0.135896	0.078609	2	["0.078609","0.135896"]		
EUPATH_0009247_1_13_11_15	1.13.11.15: 3,4-dihydroxyphenylacetate 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.082091	10.8142	1.88274311627907	0.8408405	2.33298	0.302049	86			
EUPATH_0009247_1_13_11_53	1.13.11.53: Acireductone dioxygenase (Ni(2+)-requiring)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.085861	10.242	2.14466128571429	0.749061	1.86107	0.1067835	7	["0.085861","0.098069","0.115498","0.749061","1.537640","2.184500","10.242000"]		
EUPATH_0009247_1_13_11_6	1.13.11.6: 3-hydroxyanthranilate 3,4-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.051898	16.5853	1.62036647058824	0.315768	0.918331	0.179845	17			
EUPATH_0009247_1_13_12_4	1.13.12.4: Lactate 2-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.05569	272.574039	60.9094535817805	21.248669	107.69145	8.836495	483			
EUPATH_0009247_1_14_12_19	1.14.12.19: 3-phenylpropanoate dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.049502	214.024499	7.81269561363636	0.3804425	1.3416135	0.1138705	44			
EUPATH_0009247_1_14_13_163	1.14.13.163: 6-hydroxy-3-succinoylpyridine 3-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.44622	0.44622	0.44622	0.44622			1	["0.446220"]		
EUPATH_0009247_1_14_13_39	1.14.13.39: Nitric-oxide synthase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.48538	12.4798	5.626955	4.27132	8.56364	2.69027	4	["1.485380","3.895160","4.647480","12.479800"]		
EUPATH_0009247_1_14_13_48	1.14.13.48: (S)-limonene 6-monooxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.024746	78.4458	2.73188739240506	0.64421	1.2705215	0.2286295	79			
EUPATH_0009247_1_14_14_18	1.14.14.18	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.059615	58.8858	14.0984754	2.269025	19.0267	0.173841	10	["0.059615","0.110518","0.173841","1.186930","1.772610","2.765440","7.464700","19.026700","49.538600","58.885800"]		
EUPATH_0009247_1_14_99_50	1.14.99.50: Gamma-glutamyl hercynylcysteine S-oxide synthase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.28219	1.28219	1.28219	1.28219			1	["1.282190"]		
EUPATH_0009247_1_17_99_1	1.17.99.1: 4-methylphenol dehydrogenase (hydroxylating)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.095111	9.33786	2.205338	0.423969	2.5771795	0.2130335	7	["0.095111","0.192752","0.233315","0.423969","1.829065","3.325294","9.337860"]		
EUPATH_0009247_1_18_1_1	1.18.1.1: Rubredoxin--NAD(+) reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.010189	207.396	12.6576057545455	1.603905	11.6027	0.289187	110			
EUPATH_0009247_1_19_1_1	1.19.1.1	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.041393	17.2333	1.63275016666667	0.1195285	0.486988	0.088999	12			
EUPATH_0009247_1_1_1_103	1.1.1.103: L-threonine 3-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.185295	376.3608	37.5640905483333	18.777767	44.8660755	6.6724045	600			
EUPATH_0009247_1_1_1_135	1.1.1.135: GDP-6-deoxy-D-talose 4-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.079125	4.85518	0.67343861818182	0.432934	0.7126135	0.200799	55			
EUPATH_0009247_1_1_1_136	1.1.1.136: UDP-N-acetylglucosamine 6-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.079326	122.59951	6.71869378779841	2.930413	7.830676	1.150412	377			
EUPATH_0009247_1_1_1_137	1.1.1.137: Ribitol-5-phosphate 2-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.159273	436.9708	73.8935615	34.02085	90.3505	8.32117	18			
EUPATH_0009247_1_1_1_157	1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.240157	580.938	26.5802066166667	16.07735	27.6025945	5.9155205	600			
EUPATH_0009247_1_1_1_163	1.1.1.163: Cyclopentanol dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.048844	54.7055	1.88785682352941	1.14055	2.22228	0.550356	306			
EUPATH_0009247_1_1_1_192	1.1.1.192: Long-chain-alcohol dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.133328	8.17681	1.69871122857143	0.674921	2.230771	0.3246395	35			
EUPATH_0009247_1_1_1_220	1.1.1.220: 6-pyruvoyltetrahydropterin 2'-reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.232399	0.361929	0.297164	0.297164	0.361929	0.232399	2	["0.232399","0.361929"]		
EUPATH_0009247_1_1_1_239	1.1.1.239: 3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.098302	0.098302	0.098302	0.098302			1	["0.098302"]		
EUPATH_0009247_1_1_1_261	1.1.1.261: sn-glycerol-1-phosphate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.039409	75.308924	4.1798948852459	1.780537	3.6695	0.582658	305			
EUPATH_0009247_1_1_1_283	1.1.1.283: Methylglyoxal reductase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.059458	308.33	29.7270690218579	20.696311	41.7784	6.815568	549			
EUPATH_0009247_1_1_1_31	1.1.1.31: 3-hydroxyisobutyrate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.056908	19.6329	0.76332747142857	0.257568	0.5496975	0.1422485	139			
EUPATH_0009247_1_1_1_311	1.1.1.311: (S)-1-phenylethanol dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.399741	0.619209	0.509475	0.509475	0.619209	0.399741	2	["0.399741","0.619209"]		
EUPATH_0009247_1_1_1_346	1.1.1.346: 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.081452	107.699	4.4211467032967	0.462627	1.182273	0.194372	91			
EUPATH_0009247_1_1_1_46	1.1.1.46: L-arabinose 1-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.070915	0.997703	0.28575992307692	0.17827	0.248578	0.104672	13			
EUPATH_0009247_1_1_1_61	1.1.1.61: 4-hydroxybutyrate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.065913	220.741	15.9870364434783	0.624361	7.78654	0.2454615	115			
EUPATH_0009247_1_1_1_88	1.1.1.88: Hydroxymethylglutaryl-CoA reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.052882	587.6628	110.391970322422	68.2807	128.72824	41.64299	611			
EUPATH_0009247_1_1_1_93	1.1.1.93: Tartrate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.067553	54.6765	1.76450677727273	0.9196945	2.244475	0.4277055	220			
EUPATH_0009247_1_1_1_95	1.1.1.95: Phosphoglycerate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.422424	425.146	89.3744605567322	87.797751	111.764632	60.369381	661			
EUPATH_0009247_1_1_98_6	1.1.98.6	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.072704	151.867	20.4994014954545	13.60515	29.8381	4.3944	440			
EUPATH_0009247_1_1_99_11	1.1.99.11: Fructose 5-dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.192766	11.6455	4.042954	2.166775	6.915585	1.170323	4	["0.192766","2.147880","2.185670","11.645500"]		
EUPATH_0009247_1_1_99_3	1.1.99.3: Gluconate 2-dehydrogenase (acceptor)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.103051	10.7088	2.274644625	0.816045	2.517192	0.359416	8	["0.103051","0.219865","0.498967","0.658363","0.973727","1.855310","3.179074","10.708800"]		
EUPATH_0009247_1_2_1_19	1.2.1.19: Aminobutyraldehyde dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.065594	161.990673	4.40002218367347	0.410894	1.068667	0.121014	49			
EUPATH_0009247_1_2_1_79	1.2.1.79: Succinate-semialdehyde dehydrogenase (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.051868	134.026647	9.34741108783784	0.6036725	4.64004	0.2194135	148			
EUPATH_0009247_1_2_3_1	1.2.3.1: Aldehyde oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.061124	1.9578	0.29794675	0.134594	0.326264	0.10047	72			
EUPATH_0009247_1_2_98_1	1.2.98.1: Formaldehyde dismutase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.037496	189.917985	5.35717904494382	0.443811	1.07127	0.172704	89			
EUPATH_0009247_1_3_1_106	1.3.1.106: Cobalt-precorrin-6A reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.257853	0.257853	0.257853	0.257853			1	["0.257853"]		
EUPATH_0009247_1_3_1_64	1.3.1.64: Phthalate 4,5-cis-dihydrodiol dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.234894	0.234894	0.234894	0.234894			1	["0.234894"]		
EUPATH_0009247_1_3_1_84	1.3.1.84: Acrylyl-CoA reductase (NADPH)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.080694	132.216	12.1307739473684	0.362794	2.2296735	0.1400845	19			
EUPATH_0009247_1_3_1_98	1.3.1.98: UDP-N-acetylmuramate dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	12.0034	724.457198	276.320351570055	275.7864565	342.3391915	169.475681	728			
EUPATH_0009247_1_3_3_1	1.3.3.1: Transferred entry: 1.3.98.1	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.049009	27.0334	1.30053819871795	0.3226205	1.2332355	0.1573495	156			
EUPATH_0009247_1_3_3_4	1.3.3.4: Protoporphyrinogen oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.072328	480.85957	76.034934375	62.5893305	107.0960995	13.5389165	648			
EUPATH_0009247_1_3_5_4	1.3.5.4: Fumarate reductase (quinol)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.055059	262.308765	43.1931918484849	32.4425995	60.9032065	12.5196	528			
EUPATH_0009247_1_3_7_1	1.3.7.1: 6-hydroxynicotinate reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.123264	1.13531	0.478543	0.177055	0.6561825	0.1501595	3	["0.123264","0.177055","1.135310"]		
EUPATH_0009247_1_3_7_9	1.3.7.9: 4-hydroxybenzoyl-CoA reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.121478	243.587872	10.9947775108696	6.605801	14.650326	2.359964	368			
EUPATH_0009247_1_3_8_3	1.3.8.3: (R)-benzylsuccinyl-CoA dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	1.64301	10.6841	6.64634	7.61191	9.148005	4.62746	3	["1.643010","7.611910","10.684100"]		
EUPATH_0009247_1_3_99_1	1.3.99.1: Deleted entry	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.029772	604.686918	114.487941719653	90.5424815	166.542436	32.3308925	692			
EUPATH_0009247_1_3_99_16	1.3.99.16: Isoquinoline 1-oxidoreductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.192307	6.36774	2.31801066666667	0.393985	3.3808625	0.293146	3	["0.192307","0.393985","6.367740"]		
EUPATH_0009247_1_3_99_23	1.3.99.23: All-trans-retinol 13,14-reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.155445	63.36615	7.46059457585139	5.2772	10.498589	2.02221	323			
EUPATH_0009247_1_3_99_5	1.3.99.5: 3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.076949	137.375	13.3136840143541	5.11162	14.2505	2.10199	209			
EUPATH_0009247_1_4_1_8	1.4.1.8: Valine dehydrogenase (NADP(+))	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.097997	12.479	2.00206190909091	0.980623	1.69389	0.354976	11			
EUPATH_0009247_1_4_3_4	1.4.3.4: Monoamine oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.165094	27.5571	3.54837868103448	2.18533	4.346055	1.13369	116			
EUPATH_0009247_1_4_4_2	1.4.4.2: Glycine dehydrogenase (aminomethyl-transferring)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.164795	559.0812	106.043234046131	100.266921	131.3007835	65.3419765	672			
EUPATH_0009247_1_5_1_39	1.5.1.39: FMN reductase (NAD(P)H)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.571844	321.38655	47.3878703782383	17.261738	62.97315	6.8755015	579			
EUPATH_0009247_1_5_1_50	1.5.1.50: Dihydromonapterin reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	2.29864	2.29864	2.29864	2.29864			1	["2.298640"]		
EUPATH_0009247_1_5_1_8	1.5.1.8: Saccharopine dehydrogenase (NADP(+), L-lysine-forming)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.108197	5.95433	3.0312635	3.0312635	5.95433	0.108197	2	["0.108197","5.954330"]		
EUPATH_0009247_1_5_3_2	1.5.3.2: N-methyl-L-amino-acid oxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.232237	0.232237	0.232237	0.232237			1	["0.232237"]		
EUPATH_0009247_1_5_5_1	1.5.5.1: Electron-transferring-flavoprotein dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.063013	183.763892	8.95293964095745	3.7176895	14.85274	1.031214	376			
EUPATH_0009247_1_6_99_1	1.6.99.1: NADPH dehydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.070919	135.46401	17.2835269897119	8.765221	22.698724	2.3928	486			
EUPATH_0009247_1_7_1_4	1.7.1.4: Nitrite reductase (NAD(P)H)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.070581	494.9561	26.6020394321224	7.307108	26.414035	1.7934325	523			
EUPATH_0009247_1_7_2_3	1.7.2.3: Trimethylamine-N-oxide reductase (cytochrome c)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.067779	563.892456	14.6015337916667	6.381311	18.238356	2.2364845	504			
